"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","낙동강","해평","2016.01.04","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.01.11","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.01.18","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.01.25","","","","","","","","","","","","","",""
"하천","낙동강","해평","2016.02.01","","","","","","","","","","","","","",""
"하천","낙동강","해평","2016.02.11","","","","","","","","","","","","","",""
"하천","낙동강","해평","2016.02.15","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.02.22","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.02.29","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.03.07","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.03.14","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.03.21","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.03.28","","","","","","","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.04.04","12.6","7.9","11.6","1.2","2.7","8.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.04.11","12.8","8.4","10.6","0.8","5.5","9.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.04.18","15.1","8.0","10.8","1.3","3.9","14.6","0","0","0","0","0","","",""
"하천","낙동강","해평","2016.04.25","17.5","7.9","10.3","1.1","5.3","16.0","63","0","0","0","63","","",""
"하천","낙동강","해평","2016.05.02","18.7","7.7","10.3","1.1","5.4","14.0","20","0","0","0","20","","",""
"하천","낙동강","해평","2016.05.09","18.5","8.1","9.7","1.0","4.9","23.0","44","0","0","0","44","","",""
"하천","낙동강","해평","2016.05.16","18.4","8.0","9.1","1.4","3.9","21.3","93","0","0","0","93","","",""
"하천","낙동강","해평","2016.05.23","22.5","8.5","9.3","1.0","4.6","14.3","64","64","0","0","0","","",""
"하천","낙동강","해평","2016.05.30","24.3","8.1","8.8","1.8","2.8","10.2","287","227","43","0","17","","",""
"하천","낙동강","해평","2016.06.07","24.0","7.9","8.2","2.5","3.1","4.1","1287","1213","74","0","0","","",""
"하천","낙동강","해평","2016.06.13","25.1","7.9","7.4","1.8","3.9","5.5","198","87","111","0","0","","",""
