"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","낙동강","해평","2018.01.02","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.01.08","2.5","7.7","13.9","1.8","2.7","4.7","0","0","0","0","0","","",""
"하천","낙동강","해평","2018.01.15","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.01.22","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.01.29","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.02.05","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.02.12","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.02.19","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.02.26","","","","","","","","","","","","","",""
"하천","낙동강","해평","2018.03.05","5.8","8.4","14.3","1.3","4.7","16.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2018.03.12","7.7","7.9","12.9","0.8","8.5","36.6","0","0","0","0","0","","",""
"하천","낙동강","해평","2018.03.19","9.1","7.9","12.6","1.1","6.1","26.4","0","0","0","0","0","","",""
"하천","낙동강","해평","2018.03.26","9.8","7.5","11.8","0.6","10.1","9.6","93","0","0","0","93","","",""
"하천","낙동강","해평","2018.04.02","13.5","8.2","11.8","1.6","4.3","16.4","0","0","0","0","0","","",""
"하천","낙동강","해평","2018.04.09","13.3","7.6","10.7","0.5","13.8","16.8","109","0","0","0","109","","",""
"하천","낙동강","해평","2018.04.16","12.6","7.8","11.5","0.9","7.5","18.6","144","0","0","0","144","","",""
"하천","낙동강","해평","2018.04.23","14.3","8.1","10.9","1.6","3.4","20.0","82","0","0","0","82","","",""
"하천","낙동강","해평","2018.04.30","16.2","7.6","10.1","0.9","10.0","16.7","56","0","0","0","56","","",""
"하천","낙동강","해평","2018.05.08","17.6","8.1","10.4","1.4","4.8","17.1","225","0","0","0","225","","",""
"하천","낙동강","해평","2018.05.14","19.1","8.7","10.9","1.5","3.1","19.6","23","0","0","0","23","","",""
"하천","낙동강","해평","2018.05.21","19.8","8.2","9.7","1.5","3.5","15.6","110","0","0","50","60","","",""
"하천","낙동강","해평","2018.05.28","22.8","8.4","9.4","1.4","5.0","20.2","232","0","215","0","17","","",""
"하천","낙동강","해평","2018.06.04","24.5","8.8","9.0","1.6","3.8","15.6","959","95","0","245","619","","",""
"하천","낙동강","해평","2018.06.11","22.8","8.3","8.2","1.7","4.2","13.1","1525","445","246","88","746","","",""
