"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","낙동강","해평","2019.12.30","4.5","8.5","14.0","1.7","1.9","13.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.01.06","3.5","8.5","14.4","1.4","2.6","14.4","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.01.13","3.2","7.9","13.9","0.8","3.8","13.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.01.20","3.3","7.7","13.6","0.9","4.2","10.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.01.28","4.5","7.8","13.2","1.1","4.2","13.6","43","0","0","0","43","","",""
"하천","낙동강","해평","2020.02.03","4.3","8.2","14.2","0.7","3.6","21.3","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.02.10","4.4","8.0","14.1","1.4","3.6","15.7","26","0","0","0","26","","",""
"하천","낙동강","해평","2020.02.18","4.2","8.8","13.9","0.8","3.2","13.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.02.25","6.5","8.1","13.4","0.5","4.6","13.2","25","0","0","0","25","","",""
"하천","낙동강","해평","2020.03.02","7.0","7.2","12.7","0.3","13.5","14.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.03.09","8.3","7.2","11.6","0.5","9.1","8.6","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.03.16","8.1","7.7","12.3","0.8","5.4","19.5","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.03.23","10.5","7.8","12.0","1.4","3.4","11.0","74","0","0","0","74","","",""
"하천","낙동강","해평","2020.03.30","11.9","7.7","12.0","1.1","1.9","11.0","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.04.06","13.1","8.4","11.9","1.7","2.0","8.8","130","0","0","0","130","","",""
"하천","낙동강","해평","2020.04.13","12.4","8.4","11.5","0.9","2.1","12.4","136","0","0","0","136","","",""
"하천","낙동강","해평","2020.04.20","13.9","8.2","10.7","1.0","2.5","10.4","20","0","0","0","20","","",""
"하천","낙동강","해평","2020.04.27","14.7","8.2","10.7","1.5","2.9","11.9","31","0","0","0","31","","",""
"하천","낙동강","해평","2020.05.04","16.5","7.7","9.6","1.5","2.4","8.0","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.05.11","18.8","7.8","9.3","1.4","3.6","5.5","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.05.18","19.9","7.4","9.4","1.7","2.4","12.5","38","0","30","8","0","","",""
"하천","낙동강","해평","2020.05.25","20.4","7.5","9.3","0.9","3.6","25.6","146","0","146","0","0","","",""
"하천","낙동강","해평","2020.06.01","21.8","7.9","9.9","0.6","6.2","40.6","233","0","193","0","40","","",""
"하천","낙동강","해평","2020.06.08","24.9","8.8","9.2","1.2","3.4","19.8","3690","0","2602","0","1088","","",""
"하천","낙동강","해평","2020.06.15","24.9","7.9","8.2","0.6","11.2","7.3","200","0","96","29","75","","",""
"하천","낙동강","해평","2020.06.22","25.9","7.6","7.1","1.3","4.3","5.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2020.06.29","25.5","8.0","8.9","1.3","3.7","13.2","780","780","0","0","0","","",""
"하천","낙동강","해평","2020.07.06","21.9","7.7","8.6","0.6","5.1","13.7","261","200","0","0","61","","",""
"하천","낙동강","해평","2020.07.15","","","","","","","","","","","","","",""
"하천","낙동강","해평","2020.07.20","21.9","7.4","8.6","0.5","13.6","12.1","203","60","130","0","13","","",""
"하천","낙동강","해평","2020.07.28","20.9","7.4","9.7","0.5","20.6","4.6","84","0","61","0","23","","",""
"하천","낙동강","해평","2020.08.04","22.4","7.4","9.3","0.2","60.0","2.7","86","0","86","0","0","","",""
"하천","낙동강","해평","2020.08.10","","","","","","","","","","","","","",""
