"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","낙동강","해평","2017.01.02","4.3","7.8","13.4","1.7","3.3","6.7","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.01.09","5.2","7.8","13.1","2.0","4.5","12.1","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.01.16","2.1","8.3","14.6","1.4","4.5","29.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.01.24","1.5","8.6","15.4","0.8","4.5","23.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.01.31","","","","","","","","","","","","","",""
"하천","낙동강","해평","2017.02.06","3.7","8.6","14.6","0.7","5.1","23.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.02.13","3.2","8.7","14.9","1.3","4.5","18.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.02.20","4.9","8.5","14.3","1.3","4.2","15.7","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.02.27","5.8","8.6","14.0","1.1","4.6","14.1","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.03.06","6.4","8.6","13.7","1.6","4.1","9.6","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.03.13","7.9","8.7","12.9","0.8","3.6","11.1","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.03.20","10.0","8.7","13.0","0.9","2.8","9.6","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.03.27","9.8","8.4","12.5","1.1","4.7","10.3","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.04.03","12.1","8.1","11.6","1.8","3.7","10.0","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.04.10","13.5","8.2","11.4","1.0","3.7","13.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.04.17","15.0","8.2","10.3","1.4","3.0","14.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.04.24","16.2","8.2","10.4","1.3","3.4","14.6","13","0","13","0","0","","",""
"하천","낙동강","해평","2017.05.02","18.8","8.4","10.2","2.0","3.4","9.8","76","0","76","0","0","","",""
"하천","낙동강","해평","2017.05.08","19.4","8.3","9.6","1.8","3.0","8.6","19","0","19","0","0","","",""
"하천","낙동강","해평","2017.05.15","19.2","8.3","9.6","1.9","3.2","17.4","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.05.22","22.8","8.5","9.4","3.0","1.6","7.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.05.29","23.4","8.8","9.2","3.3","1.6","2.9","115","0","0","48","67","","",""
"하천","낙동강","해평","2017.06.05","24.1","8.2","8.7","2.9","2.0","6.6","953","640","68","71","174","","",""
"하천","낙동강","해평","2017.06.12","23.3","8.3","9.2","1.7","5.0","16.4","8557","4870","1393","0","2294","","",""
"하천","낙동강","해평","2017.06.19","25.5","8.1","8.3","2.7","2.5","8.6","4802","3010","192","0","1600","","",""
"하천","낙동강","해평","2017.06.26","25.0","8.2","8.1","2.0","4.6","15.4","8824","4210","128","76","4410","","",""
"하천","낙동강","해평","2017.07.03","25.9","7.9","7.9","1.5","6.4","13.6","24742","1600","62","0","23080","","",""
"하천","낙동강","해평","2017.07.10","25.8","7.3","7.8","0.3","10.7","14.0","181","155","26","0","0","","",""
"하천","낙동강","해평","2017.07.17","25.6","7.3","8.4","0.2","69.5","20.3","135","135","0","0","0","","",""
"하천","낙동강","해평","2017.07.24","26.3","7.6","8.8","0.4","10.4","28.1","1862","1720","142","0","0","","",""
"하천","낙동강","해평","2017.07.31","23.1","7.1","8.6","0.2","59.8","4.4","290","290","0","0","0","","",""
"하천","낙동강","해평","2017.08.07","28.1","8.6","8.7","0.7","9.6","41.1","2230","1930","153","0","147","","",""
"하천","낙동강","해평","2017.08.14","26.5","7.8","7.5","0.6","8.9","15.5","913","625","259","0","29","","",""
"하천","낙동강","해평","2017.08.21","24.7","7.3","8.5","0.5","7.2","10.3","886","800","86","0","0","","",""
"하천","낙동강","해평","2017.08.28","26.8","8.3","9.6","1.0","5.4","40.1","2153","1680","320","0","153","","",""
"하천","낙동강","해평","2017.09.04","25.4","7.9","8.1","1.4","4.4","6.8","320","320","0","0","0","","",""
"하천","낙동강","해평","2017.09.11","23.6","7.7","8.3","1.0","6.4","14.7","735","735","0","0","0","","",""
"하천","낙동강","해평","2017.09.18","23.8","7.7","9.0","1.0","4.6","17.9","580","370","106","0","104","","",""
"하천","낙동강","해평","2017.09.25","23.7","8.3","9.4","1.2","4.5","30.3","1485","635","297","0","553","","",""
"하천","낙동강","해평","2017.09.29","21.7","7.9","9.3","0.6","7.3","29.7","871","480","147","39","205","","",""
"하천","낙동강","해평","2017.10.10","21.6","7.6","9.2","0.8","5.8","18.1","86","50","21","15","0","","",""
"하천","낙동강","해평","2017.10.16","19.1","7.9","9.1","0.8","6.1","23.8","326","215","0","0","111","","",""
"하천","낙동강","해평","2017.10.23","17.2","7.7","10.7","0.9","4.3","28.5","540","295","115","0","130","","",""
"하천","낙동강","해평","2017.10.30","16.1","8.5","10.6","0.6","6.3","39.5","275","275","0","0","0","","",""
"하천","낙동강","해평","2017.11.06","14.8","8.5","11.2","0.5","6.6","31.9","315","315","0","0","0","","",""
"하천","낙동강","해평","2017.11.13","12.8","7.5","13.1","0.6","6.4","21.2","349","40","0","289","20","정량한계미만","3","정량한계미만"
"하천","낙동강","해평","2017.11.20","9.4","8.8","12.2","0.5","7.3","32.3","45","45","0","0","0","","",""
"하천","낙동강","해평","2017.11.27","8.3","8.0","11.0","1.7","4.0","8.3","190","85","0","0","105","","",""
"하천","낙동강","해평","2017.12.04","6.7","8.0","12.0","0.6","4.3","9.5","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.12.11","4.1","7.8","14.3","0.9","3.2","9.7","32","0","0","0","32","","",""
"하천","낙동강","해평","2017.12.18","2.1","8.0","13.6","2.5","2.1","3.4","0","0","0","0","0","","",""
"하천","낙동강","해평","2017.12.26","2.5","8.1","13.6","2.4","2.7","3.6","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.01.02","6.3","7.7","13.1","1.7","3.4","14.4","43","0","0","0","43","","",""
"하천","낙동강","칠서","2017.01.09","6.5","8.0","13.6","1.6","4.2","27.5","157","0","0","157","0","","",""
"하천","낙동강","칠서","2017.01.16","4.2","8.2","14.2","1.0","4.7","32.8","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.01.23","2.9","8.1","14.3","1.5","4.6","15.6","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.01.31","3.8","8.0","14.3","1.8","2.7","14.1","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.02.06","4.6","8.0","14.1","1.2","3.0","12.2","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.02.13","4.9","8.1","13.4","1.6","2.7","14.7","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.02.20","6.4","8.0","13.7","0.8","5.2","27.2","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.02.27","7.5","8.0","13.5","1.6","5.2","26.1","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.03.06","7.5","8.0","13.4","1.2","4.6","24.5","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.03.13","9.8","8.6","13.2","1.1","4.3","23.6","43","0","0","43","0","","",""
"하천","낙동강","칠서","2017.03.20","10.2","8.2","12.9","1.3","3.7","24.1","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.03.27","10.9","8.1","12.3","1.4","3.7","15.2","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.04.03","13.4","8.4","12.6","1.1","4.5","19.3","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.04.10","15.3","7.8","10.7","1.2","4.5","20.7","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.04.17","17.0","8.2","10.5","1.3","3.2","24.3","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.04.24","18.2","8.5","11.0","1.2","4.8","24.0","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.05.02","20.2","8.5","10.8","1.2","3.7","13.8","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.05.08","20.8","8.2","9.6","2.0","2.9","15.4","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.05.15","20.0","8.1","9.7","1.5","3.0","11.8","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.05.22","22.7","8.5","9.4","2.6","2.0","4.6","0","0","0","0","0","","",""
"하천","낙동강","칠서","2017.05.29","25.2","9.5","9.5","1.4","4.4","19.4","59","0","0","0","59","","",""
"하천","낙동강","칠서","2017.06.05","24.5","8.6","9.7","1.3","4.0","24.2","2069","230","107","0","1732","","",""
"하천","낙동강","칠서","2017.06.12","23.6","8.8","9.8","1.1","5.4","23.4","30965","10590","0","0","20375","","",""
"하천","낙동강","칠서","2017.06.19","27.5","9.1","9.7","0.9","4.8","26.1","9666","9140","132","0","394","","",""
"하천","낙동강","칠서","2017.06.26","25.4","8.9","8.4","0.6","12.6","25.3","31811","30760","211","0","840","","",""
"하천","낙동강","칠서","2017.07.03","26.3","8.6","9.4","0.7","12.1","32.9","50226","49200","958","0","68","","",""
"하천","낙동강","칠서","2017.07.06","28.0","7.7","8.2","0.3","14.6","34.7","20788","19280","1508","0","0","31","15","0.0"
"하천","낙동강","칠서","2017.07.10","27.4","8.0","9.0","0.8","8.1","39.0","12550","11400","1150","0","0","50","21","정량한계미만"
"하천","낙동강","칠서","2017.07.13","29.2","8.4","8.8","0.8","7.3","22.4","8312","7900","412","0","0","41","15","정량한계미만"
"하천","낙동강","칠서","2017.07.17","29.0","7.4","7.0","0.4","18.1","21.4","12657","12600","57","0","0","4","6","0.0"
"하천","낙동강","칠서","2017.07.20","30.0","8.1","8.7","0.6","7.8","43.2","12683","12400","283","0","0","20","정량한계미만","0.0"
"하천","낙동강","칠서","2017.07.24","31.3","8.8","9.8","0.7","7.2","40.7","10649","10460","8","0","181","12","정량한계미만","정량한계미만"
"하천","낙동강","칠서","2017.07.27","29.6","8.3","9.2","0.7","9.6","47.5","32530","32200","330","0","0","23","10","0.0"
"하천","낙동강","칠서","2017.07.31","28.2","7.6","8.1","0.7","8.4","20.8","2082","2040","14","0","28","9","8","정량한계미만"
"하천","낙동강","칠서","2017.08.03","28.7","7.7","9.4","0.5","10.9","27.2","1666","1410","181","0","75","14","3","정량한계미만"
"하천","낙동강","칠서","2017.08.07","29.1","8.1","9.4","0.6","13.4","24.5","1103","1000","103","0","0","","",""
"하천","낙동강","칠서","2017.08.14","27.3","7.3","7.7","0.8","8.2","12.3","6722","6600","0","0","122","","",""
"하천","낙동강","칠서","2017.08.21","27.3","7.6","8.6","0.5","7.9","30.5","2069","1860","209","0","0","","",""
"하천","낙동강","칠서","2017.08.28","28.0","8.7","10.1","0.6","6.8","34.8","3037","2610","298","0","129","","",""
"하천","낙동강","칠서","2017.09.04","26.3","8.5","10.1","0.6","6.3","51.1","3935","3240","598","0","97","","",""
"하천","낙동강","칠서","2017.09.11","24.7","8.5","10.3","0.8","5.3","40.8","4700","4700","0","0","0","","",""
"하천","낙동강","칠서","2017.09.18","24.5","8.3","11.2","1.0","7.6","50.3","9910","9790","0","65","55","","",""
"하천","낙동강","칠서","2017.09.25","25.2","9.0","12.6","0.9","5.9","53.5","12087","11020","412","0","655","","",""
"하천","낙동강","칠서","2017.09.29","23.1","8.7","10.5","0.9","7.9","68.5","9067","8990","0","0","77","","",""
"하천","낙동강","칠서","2017.10.10","23.6","9.0","11.8","0.8","4.6","23.7","8121","6580","25","0","1516","","",""
"하천","낙동강","칠서","2017.10.16","19.7","8.2","10.4","1.0","7.6","37.1","17679","11700","41","0","5938","","",""
"하천","낙동강","칠서","2017.10.23","19.0","7.9","10.5","1.6","5.1","20.4","17041","9160","349","98","7434","","",""
"하천","낙동강","칠서","2017.10.26","18.4","8.7","11.1","1.3","5.6","27.8","32599","12500","374","0","19725","46","정량한계미만","0.0"
