"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"호소","운문호","댐앞","2014.12.29","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.01.05","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.01.12","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.01.19","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.01.26","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.02.02","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.02.09","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.02.16","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.02.23","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.03.02","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.03.09","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.03.16","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.03.23","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.03.30","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.04.06","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.04.13","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.04.20","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.04.27","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.05.04","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.05.11","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.05.18","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.05.26","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.06.01","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.06.08","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.06.15","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.06.22","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.06.29","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.07.06","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.07.13","","","","","","","495","495","0","0","0","","",""
"호소","운문호","댐앞","2015.07.20","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.07.27","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.08.03","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.08.10","","","","","","","0","0","0","0","0","","",""
"호소","운문호","댐앞","2015.08.17","","","","","","","1062","1062","0","0","0","","",""
"호소","운문호","댐앞","2015.08.24","","","","","","","3320","3320","0","0","0","","",""
"호소","운문호","댐앞","2015.08.31","","","","","","","1800","1800","0","0","0","","",""
"호소","운문호","댐앞","2015.09.07","","","","","","","141","141","0","0","0","","",""
